year,exporter_code,exporter,importer_code,importer,value_usd,net_kg,unit_usd_kg,provisional
2014,152,Chile,784,United Arab Emirates,1291517.324,122054.94,10.5814,False
2014,528,Netherlands,643,Russian Federation,1252695.423,75858.0,16.5137,False
2014,528,Netherlands,616,Poland,1240558.145,119638.0,10.3693,False
2014,251,France,528,Netherlands,1182836.0,213695.0,5.5352,False
2014,616,Poland,112,Belarus,1139124.0,422402.0,2.6968,False
2014,724,Spain,579,Norway,1128538.366,94200.0,11.9802,False
2014,616,Poland,752,Sweden,1123895.0,144084.0,7.8003,False
2014,616,Poland,380,Italy,1088567.0,164059.0,6.6352,False
2014,276,Germany,208,Denmark,1030052.015,195851.0,5.2594,False
2014,251,France,380,Italy,1013322.0,108156.0,9.3691,False
2014,842,USA,484,Mexico,960432.0,224029.0,4.2871,False
2014,504,Morocco,528,Netherlands,926416.0,221584.0,4.1809,False
2014,842,USA,784,United Arab Emirates,908132.0,153491.0,5.9165,False
2014,276,Germany,757,Switzerland,853225.766,116568.0,7.3196,False
2014,616,Poland,251,France,831747.0,205782.0,4.0419,False
2014,620,Portugal,56,Belgium,817931.0,111590.0,7.3298,False
2014,251,France,276,Germany,806082.0,112357.0,7.1743,False
2014,724,Spain,246,Finland,797258.574,104996.0,7.5932,False
2014,688,Serbia,40,Austria,793863.0,372751.0,2.1297,False
2014,616,Poland,757,Switzerland,793224.0,116867.0,6.7874,False
2014,56,Belgium,251,France,768671.004,89934.0,8.5471,False
2014,842,USA,36,Australia,757905.0,280419.0,2.7028,False
2014,616,Poland,643,Russian Federation,752570.0,147032.0,5.1184,False
2014,842,USA,616,Poland,725100.0,252880.0,2.8674,False
2014,56,Belgium,208,Denmark,710562.387,76814.52,9.2504,False
2014,124,Canada,528,Netherlands,698233.0,264925.0,2.6356,False
2014,528,Netherlands,40,Austria,689704.782,53607.0,12.8659,False
2014,842,USA,76,Brazil,673835.0,222427.0,3.0295,False
2014,528,Netherlands,352,Iceland,651470.429,43700.0,14.9078,False
2014,276,Germany,203,Czechia,649881.025,70409.0,9.2301,False
2014,152,Chile,484,Mexico,632165.94,98466.84,6.4201,False
2014,152,Chile,76,Brazil,622468.5,68148.0,9.1341,False
2014,616,Poland,440,Lithuania,593611.0,95704.0,6.2026,False
2014,724,Spain,752,Sweden,585263.092,67047.7,8.7291,False
2014,276,Germany,724,Spain,568652.04,53950.0,10.5404,False
2014,152,Chile,170,Colombia,561388.13,46818.2,11.9908,False
2014,710,South Africa,372,Ireland,546123.881,53323.0,10.2418,False
2014,152,Chile,251,France,505342.63,77479.12,6.5223,False
2014,504,Morocco,702,Singapore,494445.0,30600.0,16.1583,False
2014,152,Chile,458,Malaysia,479254.8,63038.7,7.6025,False
2014,842,USA,554,New Zealand,464397.0,175570.0,2.6451,False
2014,276,Germany,826,United Kingdom,445759.298,81786.0,5.4503,False
2014,842,USA,56,Belgium,444657.0,113309.0,3.9243,False
2014,528,Netherlands,246,Finland,434309.192,22598.0,19.2189,False
2014,688,Serbia,276,Germany,431040.0,173202.0,2.4887,False
2014,724,Spain,440,Lithuania,427944.49,41867.0,10.2215,False
2014,124,Canada,56,Belgium,420422.0,111677.0,3.7646,False
