year,role,reporter_code,country,value_usd,net_kg,unit_usd_kg,rank,share,cum_share,provisional
2022,importer,417,Kyrgyzstan,38018.0,25121.0,1.5134,111,0.0,1.0,False
2022,importer,558,Nicaragua,31001.19,69456.73,0.4463,112,0.0,1.0,False
2022,importer,478,Mauritania,22060.819,138575.0,0.1592,113,0.0,1.0,False
2022,importer,418,Lao People's Dem. Rep.,11328.0,38840.0,0.2917,114,0.0,1.0,False
2022,importer,308,Grenada,10239.63,3042.0,3.3661,115,0.0,1.0,False
2022,importer,328,Guyana,9437.697,8683.83,1.0868,116,0.0,1.0,False
2022,importer,288,Ghana,8687.135,3146.094,2.7612,117,0.0,1.0,False
2022,importer,686,Senegal,6977.473,24458.0,0.2853,118,0.0,1.0,False
2022,importer,384,Côte d'Ivoire,6399.344,624.0,10.2554,119,0.0,1.0,False
2022,importer,646,Rwanda,3724.61,18373.0,0.2027,120,0.0,1.0,False
2022,importer,116,Cambodia,2946.0,1260.0,2.3381,121,0.0,1.0,False
2022,importer,894,Zambia,2868.906,1149.22,2.4964,122,0.0,1.0,False
2022,importer,454,Malawi,2756.337,1000.32,2.7555,123,0.0,1.0,False
2022,importer,20,Andorra,2708.716,702.8,3.8542,124,0.0,1.0,False
2022,importer,670,Saint Vincent and the Grenadines,2628.531,188.17,13.9689,125,0.0,1.0,False
2022,importer,598,Papua New Guinea,1412.027,106.0,13.321,126,0.0,1.0,False
2022,importer,178,Congo,1268.322,131.94,9.6129,127,0.0,1.0,False
2022,importer,24,Angola,1215.589,9997.28,0.1216,128,0.0,1.0,False
2022,importer,776,Tonga,1158.89,275.0,4.2141,129,0.0,1.0,False
2022,importer,266,Gabon,1008.493,270.0,3.7352,130,0.0,1.0,False
2022,importer,800,Uganda,673.12,3800.0,0.1771,131,0.0,1.0,False
2022,importer,180,Dem. Rep. of the Congo,136.632,63.0,2.1688,132,0.0,1.0,False
2022,importer,388,Jamaica,130.7,631.32,0.207,133,0.0,1.0,False
2023,exporter,484,Mexico,3137577204.0,1306923052.0,2.4007,1,0.41863,0.41863,False
2023,exporter,528,Netherlands,986167832.422,319895368.0,3.0828,2,0.13158,0.55021,False
2023,exporter,604,Peru,963426949.23,598492889.16,1.6098,3,0.12854,0.67875,False
2023,exporter,724,Spain,413888620.73,133639471.45,3.0971,4,0.05522,0.73397,False
